"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 24 02:43:42 UTC 2023","Thu Aug 24 02:43:46 UTC 2023","3528","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Aug 24 03:19:48 UTC 2023","Thu Aug 24 03:20:15 UTC 2023","27061","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Thu Aug 24 02:20:49 UTC 2023","Thu Aug 24 02:21:37 UTC 2023","48795","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Thu Aug 24 02:32:54 UTC 2023","Thu Aug 24 02:33:10 UTC 2023","16293","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Thu Aug 24 02:30:50 UTC 2023","Thu Aug 24 02:31:13 UTC 2023","22469","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Thu Aug 24 02:30:46 UTC 2023","Thu Aug 24 02:30:50 UTC 2023","3826","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Aug 24 02:44:41 UTC 2023","Thu Aug 24 02:44:45 UTC 2023","3761","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Aug 24 02:24:32 UTC 2023","Thu Aug 24 02:24:55 UTC 2023","22228","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Aug 24 04:01:39 UTC 2023","Thu Aug 24 04:01:41 UTC 2023","1706","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Thu Aug 24 02:40:26 UTC 2023","Thu Aug 24 02:40:30 UTC 2023","3682","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Thu Aug 24 02:33:12 UTC 2023","Thu Aug 24 02:33:13 UTC 2023","572","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Thu Aug 24 02:43:57 UTC 2023","Thu Aug 24 02:44:00 UTC 2023","2861","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"skipped","Thu Aug 24 04:43:01 UTC 2023","Thu Aug 24 04:43:01 UTC 2023","0","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Thu Aug 24 02:17:29 UTC 2023","Thu Aug 24 02:17:38 UTC 2023","8525","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Thu Aug 24 02:47:16 UTC 2023","Thu Aug 24 02:47:35 UTC 2023","19486","","6. Company Account","","","","2. Create a Company Account",""
"passed","Thu Aug 24 03:43:21 UTC 2023","Thu Aug 24 03:47:33 UTC 2023","252453","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Thu Aug 24 03:23:55 UTC 2023","Thu Aug 24 03:24:13 UTC 2023","18042","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Thu Aug 24 03:20:30 UTC 2023","Thu Aug 24 03:20:31 UTC 2023","850","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Thu Aug 24 04:23:37 UTC 2023","Thu Aug 24 04:24:29 UTC 2023","52118","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Thu Aug 24 03:26:24 UTC 2023","Thu Aug 24 03:26:45 UTC 2023","21029","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Thu Aug 24 02:16:53 UTC 2023","Thu Aug 24 02:17:29 UTC 2023","35948","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Aug 24 02:39:20 UTC 2023","Thu Aug 24 02:39:23 UTC 2023","3515","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Thu Aug 24 02:44:18 UTC 2023","Thu Aug 24 02:44:20 UTC 2023","2327","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Aug 24 02:38:20 UTC 2023","Thu Aug 24 02:39:17 UTC 2023","56875","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Thu Aug 24 03:20:17 UTC 2023","Thu Aug 24 03:20:18 UTC 2023","1318","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"skipped","Thu Aug 24 04:43:01 UTC 2023","Thu Aug 24 04:43:01 UTC 2023","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Thu Aug 24 03:40:26 UTC 2023","Thu Aug 24 03:40:29 UTC 2023","3294","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Thu Aug 24 02:30:20 UTC 2023","Thu Aug 24 02:30:39 UTC 2023","19057","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Aug 24 02:48:35 UTC 2023","Thu Aug 24 02:48:38 UTC 2023","3070","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Aug 24 02:44:20 UTC 2023","Thu Aug 24 02:44:41 UTC 2023","20955","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Thu Aug 24 04:22:39 UTC 2023","Thu Aug 24 04:22:44 UTC 2023","5455","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Thu Aug 24 04:19:55 UTC 2023","Thu Aug 24 04:19:58 UTC 2023","3341","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Thu Aug 24 02:18:09 UTC 2023","Thu Aug 24 02:18:17 UTC 2023","8182","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Thu Aug 24 04:04:12 UTC 2023","Thu Aug 24 04:04:14 UTC 2023","1561","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Thu Aug 24 02:25:35 UTC 2023","Thu Aug 24 02:25:42 UTC 2023","7363","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Thu Aug 24 02:32:51 UTC 2023","Thu Aug 24 02:32:54 UTC 2023","2386","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Aug 24 04:22:56 UTC 2023","Thu Aug 24 04:23:37 UTC 2023","41315","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Thu Aug 24 02:36:03 UTC 2023","Thu Aug 24 02:36:06 UTC 2023","3130","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"failed","Thu Aug 24 02:57:20 UTC 2023","Thu Aug 24 02:59:10 UTC 2023","109734","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Thu Aug 24 02:18:40 UTC 2023","Thu Aug 24 02:18:49 UTC 2023","9085","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Thu Aug 24 03:19:36 UTC 2023","Thu Aug 24 03:19:47 UTC 2023","11629","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Thu Aug 24 02:18:17 UTC 2023","Thu Aug 24 02:18:40 UTC 2023","22545","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Thu Aug 24 02:25:28 UTC 2023","Thu Aug 24 02:25:34 UTC 2023","6598","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Thu Aug 24 02:48:17 UTC 2023","Thu Aug 24 02:48:19 UTC 2023","2718","","6. Company Account","","","","6. Review Review Page",""
"passed","Thu Aug 24 04:01:31 UTC 2023","Thu Aug 24 04:01:32 UTC 2023","439","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Thu Aug 24 03:40:54 UTC 2023","Thu Aug 24 03:40:56 UTC 2023","2001","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Thu Aug 24 02:27:38 UTC 2023","Thu Aug 24 02:27:38 UTC 2023","519","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Thu Aug 24 04:01:14 UTC 2023","Thu Aug 24 04:01:26 UTC 2023","12443","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Thu Aug 24 03:50:38 UTC 2023","Thu Aug 24 03:50:57 UTC 2023","19817","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Thu Aug 24 02:38:16 UTC 2023","Thu Aug 24 02:38:20 UTC 2023","3743","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Aug 24 03:40:45 UTC 2023","Thu Aug 24 03:40:54 UTC 2023","9301","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Thu Aug 24 02:33:10 UTC 2023","Thu Aug 24 02:33:12 UTC 2023","2108","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Aug 24 03:20:15 UTC 2023","Thu Aug 24 03:20:17 UTC 2023","2573","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Thu Aug 24 02:27:38 UTC 2023","Thu Aug 24 02:27:51 UTC 2023","12802","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Thu Aug 24 02:19:42 UTC 2023","Thu Aug 24 02:19:44 UTC 2023","2461","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Thu Aug 24 03:40:11 UTC 2023","Thu Aug 24 03:40:15 UTC 2023","3099","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Thu Aug 24 03:40:23 UTC 2023","Thu Aug 24 03:40:26 UTC 2023","2506","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"skipped","Thu Aug 24 02:17:38 UTC 2023","Thu Aug 24 02:17:38 UTC 2023","5","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Thu Aug 24 03:50:58 UTC 2023","Thu Aug 24 03:51:07 UTC 2023","9938","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Thu Aug 24 02:20:24 UTC 2023","Thu Aug 24 02:20:44 UTC 2023","19937","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Thu Aug 24 03:26:53 UTC 2023","Thu Aug 24 03:26:55 UTC 2023","1934","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Thu Aug 24 03:39:58 UTC 2023","Thu Aug 24 03:40:11 UTC 2023","13658","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Thu Aug 24 02:35:33 UTC 2023","Thu Aug 24 02:35:53 UTC 2023","19390","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Aug 24 02:47:35 UTC 2023","Thu Aug 24 02:47:37 UTC 2023","2110","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Thu Aug 24 02:39:17 UTC 2023","Thu Aug 24 02:39:20 UTC 2023","2712","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Thu Aug 24 02:46:58 UTC 2023","Thu Aug 24 02:47:16 UTC 2023","17537","","6. Company Account","","","","1. Validate login credentials",""
"passed","Thu Aug 24 02:35:53 UTC 2023","Thu Aug 24 02:36:03 UTC 2023","9979","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Thu Aug 24 03:51:10 UTC 2023","Thu Aug 24 03:51:15 UTC 2023","4356","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Thu Aug 24 03:37:07 UTC 2023","Thu Aug 24 03:37:54 UTC 2023","47065","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Thu Aug 24 04:19:54 UTC 2023","Thu Aug 24 04:19:55 UTC 2023","43","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Thu Aug 24 04:22:44 UTC 2023","Thu Aug 24 04:22:53 UTC 2023","8466","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Thu Aug 24 03:40:15 UTC 2023","Thu Aug 24 03:40:17 UTC 2023","2327","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"failed","Thu Aug 24 04:01:41 UTC 2023","Thu Aug 24 04:04:12 UTC 2023","151055","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Thu Aug 24 03:19:18 UTC 2023","Thu Aug 24 03:19:35 UTC 2023","17495","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"broken","Thu Aug 24 04:43:01 UTC 2023","Thu Aug 24 04:43:01 UTC 2023","3","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Thu Aug 24 03:26:46 UTC 2023","Thu Aug 24 03:26:53 UTC 2023","6683","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Thu Aug 24 03:33:33 UTC 2023","Thu Aug 24 03:33:34 UTC 2023","1978","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Thu Aug 24 03:32:59 UTC 2023","Thu Aug 24 03:33:02 UTC 2023","3082","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Thu Aug 24 03:32:44 UTC 2023","Thu Aug 24 03:32:59 UTC 2023","14752","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Thu Aug 24 04:19:58 UTC 2023","Thu Aug 24 04:20:27 UTC 2023","28983","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Thu Aug 24 04:19:46 UTC 2023","Thu Aug 24 04:19:54 UTC 2023","8352","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Thu Aug 24 03:33:35 UTC 2023","Thu Aug 24 03:34:15 UTC 2023","40971","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Thu Aug 24 03:33:03 UTC 2023","Thu Aug 24 03:33:32 UTC 2023","29197","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Thu Aug 24 02:39:28 UTC 2023","Thu Aug 24 02:40:26 UTC 2023","57898","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Thu Aug 24 02:27:51 UTC 2023","Thu Aug 24 02:27:52 UTC 2023","919","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Thu Aug 24 02:30:39 UTC 2023","Thu Aug 24 02:30:46 UTC 2023","7225","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"broken","Thu Aug 24 03:13:18 UTC 2023","Thu Aug 24 03:13:18 UTC 2023","2","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Thu Aug 24 03:33:02 UTC 2023","Thu Aug 24 03:33:03 UTC 2023","1234","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Thu Aug 24 04:21:19 UTC 2023","Thu Aug 24 04:22:39 UTC 2023","79826","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Thu Aug 24 02:20:44 UTC 2023","Thu Aug 24 02:20:49 UTC 2023","4520","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"skipped","Thu Aug 24 04:43:01 UTC 2023","Thu Aug 24 04:43:01 UTC 2023","1","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Thu Aug 24 03:26:45 UTC 2023","Thu Aug 24 03:26:46 UTC 2023","1055","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Thu Aug 24 02:25:02 UTC 2023","Thu Aug 24 02:25:05 UTC 2023","2743","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Aug 24 03:40:17 UTC 2023","Thu Aug 24 03:40:20 UTC 2023","2965","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Thu Aug 24 03:51:08 UTC 2023","Thu Aug 24 03:51:10 UTC 2023","2643","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Thu Aug 24 02:36:06 UTC 2023","Thu Aug 24 02:36:32 UTC 2023","26102","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Thu Aug 24 02:36:32 UTC 2023","Thu Aug 24 02:36:39 UTC 2023","7097","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Thu Aug 24 02:48:19 UTC 2023","Thu Aug 24 02:48:35 UTC 2023","15527","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Thu Aug 24 03:43:00 UTC 2023","Thu Aug 24 03:43:20 UTC 2023","20043","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Thu Aug 24 04:22:53 UTC 2023","Thu Aug 24 04:22:56 UTC 2023","2677","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"skipped","Thu Aug 24 04:43:01 UTC 2023","Thu Aug 24 04:43:01 UTC 2023","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Thu Aug 24 02:47:52 UTC 2023","Thu Aug 24 02:47:56 UTC 2023","4739","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Thu Aug 24 03:19:35 UTC 2023","Thu Aug 24 03:19:36 UTC 2023","457","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Thu Aug 24 04:20:27 UTC 2023","Thu Aug 24 04:20:32 UTC 2023","5220","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Thu Aug 24 02:48:38 UTC 2023","Thu Aug 24 02:48:39 UTC 2023","586","","6. Company Account","","","","9. Review Final Review",""
"passed","Thu Aug 24 03:23:51 UTC 2023","Thu Aug 24 03:23:54 UTC 2023","2868","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Thu Aug 24 03:40:20 UTC 2023","Thu Aug 24 03:40:23 UTC 2023","2996","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Thu Aug 24 02:17:29 UTC 2023","Thu Aug 24 02:17:29 UTC 2023","52","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Thu Aug 24 02:39:24 UTC 2023","Thu Aug 24 02:39:28 UTC 2023","4314","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Thu Aug 24 04:06:50 UTC 2023","Thu Aug 24 04:07:01 UTC 2023","11138","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Thu Aug 24 02:47:37 UTC 2023","Thu Aug 24 02:47:52 UTC 2023","14332","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Thu Aug 24 02:25:05 UTC 2023","Thu Aug 24 02:25:28 UTC 2023","22823","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Thu Aug 24 04:20:32 UTC 2023","Thu Aug 24 04:20:37 UTC 2023","5017","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Thu Aug 24 04:01:32 UTC 2023","Thu Aug 24 04:01:39 UTC 2023","7429","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Thu Aug 24 02:17:38 UTC 2023","Thu Aug 24 02:17:46 UTC 2023","8646","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Thu Aug 24 03:40:29 UTC 2023","Thu Aug 24 03:40:45 UTC 2023","15767","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Thu Aug 24 03:23:31 UTC 2023","Thu Aug 24 03:23:51 UTC 2023","20560","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Thu Aug 24 02:43:46 UTC 2023","Thu Aug 24 02:43:57 UTC 2023","11171","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"skipped","Thu Aug 24 04:43:01 UTC 2023","Thu Aug 24 04:43:01 UTC 2023","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Thu Aug 24 03:23:54 UTC 2023","Thu Aug 24 03:23:55 UTC 2023","289","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Thu Aug 24 02:24:55 UTC 2023","Thu Aug 24 02:25:02 UTC 2023","7361","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Thu Aug 24 02:17:46 UTC 2023","Thu Aug 24 02:18:09 UTC 2023","22339","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Thu Aug 24 04:01:26 UTC 2023","Thu Aug 24 04:01:31 UTC 2023","5176","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Thu Aug 24 02:27:35 UTC 2023","Thu Aug 24 02:27:38 UTC 2023","2414","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Thu Aug 24 02:43:16 UTC 2023","Thu Aug 24 02:43:34 UTC 2023","18339","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Aug 24 02:31:13 UTC 2023","Thu Aug 24 02:31:21 UTC 2023","8253","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Thu Aug 24 04:19:27 UTC 2023","Thu Aug 24 04:19:46 UTC 2023","19193","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Thu Aug 24 03:01:34 UTC 2023","Thu Aug 24 03:01:53 UTC 2023","19360","","9. Client Portal - Home","","","","1. Check links",""
"passed","Thu Aug 24 03:20:18 UTC 2023","Thu Aug 24 03:20:30 UTC 2023","11587","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Thu Aug 24 04:21:15 UTC 2023","Thu Aug 24 04:21:19 UTC 2023","3691","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Thu Aug 24 02:43:34 UTC 2023","Thu Aug 24 02:43:42 UTC 2023","7803","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Thu Aug 24 02:18:49 UTC 2023","Thu Aug 24 02:19:13 UTC 2023","23681","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Thu Aug 24 02:44:45 UTC 2023","Thu Aug 24 02:44:46 UTC 2023","663","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Thu Aug 24 04:07:01 UTC 2023","Thu Aug 24 04:07:28 UTC 2023","26880","","21. Forgot password function","","","","2. Reset password",""
